#Deco_Type|Place_On|FillRatio|Biome|Y_Min|Y_Max|Deco_Node|HeightMax|SpawnBy|NumSpawnBy|||
# HOT HUMID||||||||||||
# HOT HUMID OCEAN||||||||||||
#||||||||||||
# HOT HUMID BEACH||||||||||||
trees|gal:dirt_sandy_with_litter_rainforest|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_sandy_with_litter_rainforest|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_sandy_with_litter_rainforest|0.001|hot_humid|beach|lowland|plant_pineapple_plant|nil|nil|nil|||
plants|gal:dirt_sandy_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_sandy_with_litter_rainforest|0.08|hot_humid|beach|highland|shrub_lush_01|nil|nil|nil|||
# HOT HUMID - DIRT SILTY WITH RAINFOREST LITTER||||||||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|coastal|shelf|cocoa_01;cocoa_02||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|lowland|highland|capirona_01;capirona_02||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|beach|lowland|ebony||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02||||||
trees|gal:dirt_silty_with_litter_rainforest|0.004|hot_humid|beach|lowland|rubber_01;rubber_02;rubber_03;rubber_04||||||
plants|gal:dirt_silty_with_litter_rainforest|0.08|hot_humid|beach|lowland|fern_large_1||||||
plants|gal:dirt_silty_with_litter_rainforest|0.08|hot_humid|beach|lowland|fern_small_1||||||
plants|gal:dirt_silty_with_litter_rainforest|0.08|hot_humid|beach|shelf|fern_spikefern||||||
plants|gal:dirt_silty_with_litter_rainforest|0.001|hot_humid|lowland|highland|flower_orchid||||||
plants|gal:dirt_silty_with_litter_rainforest|0.001|hot_humid|beach|lowland|plant_pineapple_plant||||||
plants|gal:dirt_silty_with_litter_rainforest|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_silty_with_litter_rainforest|0.08|hot_humid|coastal|highland|shrub_lush_01||||||
# HOT HUMID - DIRT||||||||||||
plants|gal:dirt_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle_1|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_humid|0.004|hot_humid|beach|shelf|plant_gourd_bottle_1||||||
plants|gal:dirt_with_grass_hot_humid|0.004|hot_humid|beach|highland|plant_creeper||||||
plants|gal:dirt_with_grass_hot_humid|0.001|hot_humid|shelf|highland|plant_nettle_impatiens|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_humid|0.08|hot_humid|beach|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_humid|0.08|hot_humid|beach|highland|shrub_jungle||||||
# HOT HUMID - DIRT BLACK||||||||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|lowland|shelf|cocoa_01;cocoa_02||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|lowland|highland|capirona_01;capirona_02||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|beach|lowland|ebony||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|beach|lowland|mahogany||||||
trees|gal:dirt_silt_01_with_grass_hot_humid|0.004|hot_humid|beach|lowland|rubber_01;rubber_02;rubber_03;rubber_04||||||
plants|gal:dirt_silt_01_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_silt_01_with_grass_hot_humid|0.08|hot_humid|beach|shelf|grass_jungle||||||
plants|gal:dirt_silt_01_with_grass_hot_humid|0.001|hot_humid|coastal|shelf|plant_creeper||||||
plants|gal:dirt_silt_01_with_grass_hot_humid|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_silt_01_with_grass_hot_humid|0.08|hot_humid|beach|shelf|shrub_jungle||||||
# HOT HUMID - DIRT BROWN||||||||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|lowland|shelf|capirona_01;capirona_02||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|beach|lowland|ebony||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|beach|lowland|mahogany||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_clay_red_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_clay_red_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_clay_red_with_grass_hot_humid|0.08|hot_humid|beach|shelf|grass_jungle||||||
plants|gal:dirt_clay_red_with_grass_hot_humid|0.08|hot_humid|beach|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_clay_red_with_grass_hot_humid|0.08|hot_humid|beach|highland|shrub_jungle||||||
# HOT HUMID - DIRT CLAYEY||||||||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|beach|lowland|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|beach|lowland|bamboo_small||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|lowland|shelf|capirona_01;capirona_02||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|lowland|shelf|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_clayey_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.08|hot_humid|beach|shelf|grass_bamboo_grass||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.001|hot_humid|beach|shelf|plant_gourd_bottle_1||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.001|hot_humid|beach|highland|plant_creeper||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.08|hot_humid|beach|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_clayey_with_grass_hot_humid|0.08|hot_humid|beach|highland|shrub_jungle||||||
# HOT HUMID - DIRT SANDY||||||||||||
trees|gal:dirt_sandy_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|gal:dirt_sandy_with_grass_hot_humid|0.004|hot_humid|beach|shelf|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_sandy_with_grass_hot_humid|0.004|hot_humid|beach|lowland|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_sandy_with_grass_hot_humid|0.08|hot_humid|2|highland|grass_jungle_1||||||
plants|gal:dirt_sandy_with_grass_hot_humid|0.08|hot_humid|2|highland|grass_jungle||||||
plants|gal:dirt_sandy_with_grass_hot_humid|0.001|hot_humid|coastal|shelf|flower_lantana|nil|nil|nil|||
plants|gal:dirt_sandy_with_grass_hot_humid|0.001|hot_humid|beach|shelf|plant_gourd_bottle_1||||||
plants|gal:dirt_sandy_with_grass_hot_humid|0.001|hot_humid|beach|highland|plant_creeper||||||
plants|gal:dirt_sandy_with_grass_hot_humid|0.08|hot_humid|beach|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_sandy_with_grass_hot_humid|0.08|hot_humid|beach|highland|shrub_jungle|nil|nil|nil|||
plants|gal:dirt_sandy_with_grass_hot_humid|0.08|hot_humid|coastal|shelf|shrub_lush_01|nil|nil|nil|||
# HOT HUMID - DIRT SILTY||||||||||||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|coastal|shelf|cocoa_01;cocoa_02||||||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|lowland|shelf|capirona_01;capirona_02||||||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|beach|coastal|ebony||||||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07|nil|nil|nil|||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|coastal|shelf|kapok_01;kapok_02||||||
trees|gal:dirt_silty_with_grass_hot_humid|0.004|hot_humid|beach|coastal|rubber_01;rubber_02;rubber_03;rubber_04||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.08|hot_humid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.08|hot_humid|beach|shelf|grass_jungle||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.001|hot_humid|beach|shelf|plant_gourd_bottle_1||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.001|hot_humid|beach|highland|plant_creeper||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.08|hot_humid|coastal|shelf|plant_small_jungle_tree||||||
plants|gal:dirt_silty_with_grass_hot_humid|0.08|hot_humid|coastal|highland|shrub_jungle||||||
#||||||||||||
#Deco_Type|Place_On|FillRatio|Biome|Y_Min|Y_Max|Deco_Node|HeightMax|SpawnBy|NumSpawnBy|||
# HOT SEMIHUMID||||||||||||
# HOT SEMIHUMID OCEAN||||||||||||
#||||||||||||
# HOT SEMIHUMID BEACH||||||||||||
trees|gal:dirt_silt_01|0.8|hot_semihumid_beach|-1|1|mangrove_red_01;mangrove_red_02;mangrove_red_03||||||
plants|gal:dirt_silt_01|0.02|hot_semihumid_beach|-1|1|tree_mangrove_black_sapling|nil|nil|nil|||
# HOT SEMIHUMID - DIRT||||||||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|shelf|brazilnut_01;brazilnut_02||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|capirona_01;capirona_02||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|lowland|ebony||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|coastal|lowland|fig_01;fig_02;fig_03||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|shelf|jungle_green_01;jungle_green_02;jungle_green_03||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|coastal|mahogany||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|coastal|rubber_01;rubber_02;rubber_03;rubber_04||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|lowland|palm_jungle_01;palm_jungle_02||||||
trees|gal:dirt_with_grass_hot_semihumid|0.003|hot_semihumid|beach|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|gal:dirt_with_grass_hot_semihumid|0.06|hot_semihumid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|grass_jungle||||||
plants|gal:dirt_with_grass_hot_semihumid|0.001|hot_semihumid|beach|highland|plant_creeper||||||
plants|gal:dirt_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_semihumid|0.06|hot_semihumid|beach|highland|shrub_lush_01|nil|nil|nil|||
plants|gal:dirt_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|shrub_jungle|nil|nil|nil|||
# HOT SEMIHUMID - DIRT BLACK||||||||||||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|beach|shelf|brazilnut_01;brazilnut_02||||||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|capirona_01;capirona_02|nil|nil|nil|||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|beach|lowland|ebony||||||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|coastal|lowland|fig_01;fig_02;fig_03||||||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07|nil|nil|nil|||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|beach|shelf|jungle_green_01;jungle_green_02;jungle_green_03||||||
trees|gal:dirt_silt_01_with_grass_hot_semihumid|0.003|hot_semihumid|beach|coastal|mahogany||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.06|hot_semihumid|beach|highland|grass_jungle_1||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|grass_jungle|nil|nil|nil|||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|shelf|flower_hibiscus||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|shelf|flower_orchid||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|lowland|flower_lantana||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|lowland|plant_banana_1||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|shelf|plant_gourd_bottle_1||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|lowland|plant_pineapple_plant||||||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.001|hot_semihumid|beach|highland|plant_creeper|nil|nil|nil|||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|plant_small_jungle_tree|nil|nil|nil|||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.06|hot_semihumid|beach|highland|shrub_jungle|nil|nil|nil|||
plants|gal:dirt_silt_01_with_grass_hot_semihumid|0.06|hot_semihumid|beach|shelf|shrub_lush_01|nil|nil|nil|||
# HOT SEMIHUMID - DIRT BROWN||||||||||||
trees|gal:dirt_clay_red_with_grass_hot_semihumid|0.003|hot_semihumid|beach|lowland|ebony||||||
trees|gal:dirt_clay_red_with_grass_hot_semihumid|0.003|hot_semihumid|coastal|shelf|fig_01;fig_02;fig_03|nil|nil|nil|||
trees|gal:dirt_clay_red_with_grass_hot_semihumid|0.003|hot_semihumid|lowland|highland|jungle_01;jungle_02;jungle_04;jungle_05;jungle_06;jungle_07||||||
